time_s,freq_dev_hz
0.0,-0.035144549232546396
1.0,-0.03906849576518212
2.0,-0.03809267583662734
3.0,-0.03690757625369301
4.0,-0.03744082219532263
5.0,-0.03734650644537263
6.0,-0.03850498674566216
7.0,-0.03959353573000035
8.0,-0.03798358657491674
9.0,-0.028222857919548705
10.0,-0.02837939567500669
11.0,-0.038832204080410104
12.0,-0.036751062695792314
13.0,-0.03445154826462904
14.0,-0.04207783737214976
15.0,-0.034257168330933396
16.0,-0.0327479776513262
17.0,-0.03612730011050891
18.0,-0.04125482026869465
19.0,-0.03717958606419547
20.0,-0.037825081462774524
21.0,-0.036135140801811794
22.0,-0.036767659876515424
23.0,-0.03149239097033352
24.0,-0.04071463078986648
25.0,-0.035003114034526384
26.0,-0.03841721302917378
27.0,-0.03974136172589793
28.0,-0.03633623685855181
29.0,-0.024353434499790882
30.0,-0.03761120529328643
31.0,-0.036706574077896015
32.0,-0.03299831501728967
33.0,-0.030674786970630308
34.0,-0.0436287624676468
35.0,-0.020849743948723187
36.0,-0.010018282792492172
37.0,-0.030691577391503966
38.0,-0.04064067394435211
39.0,-0.039136998037336834
40.0,-0.029954576444606307
41.0,-0.03260018977890633
42.0,-0.03894653059553166
43.0,-0.035444948430556344
44.0,-0.04116697355076804
45.0,-0.022567888185340834
46.0,-0.013058303832254037
47.0,-0.027824362121635637
48.0,-0.03884639810613155
49.0,-0.03020441640802396
50.0,-0.025381899290162213
51.0,-0.0426385478457747
52.0,-0.02587925476823738
53.0,-0.039765831307625454
54.0,-0.033886821232824715
55.0,-0.03204770509814825
56.0,-0.020285243682218734
57.0,-0.04617982706714541
58.0,-0.028196965976472477
59.0,-0.020234781178216643
60.0,-0.02648664385293209
61.0,-0.0482492845268756
62.0,-0.016612032576643898
63.0,-0.022554889214101426
64.0,-0.04064200469741985
65.0,-0.03638029500994566
66.0,-0.0217144415454551
67.0,-0.02131402356253087
68.0,-0.031217201665343364
69.0,-0.04190702894765863
70.0,-0.033844029780822904
71.0,-0.021152951210208215
72.0,-0.0349115038942327
73.0,-0.03076942963111895
74.0,-0.04179948970473468
75.0,-0.03121153903517193
76.0,-0.024635209174317385
77.0,-0.0435952026493891
78.0,-0.028054460390527503
79.0,-0.030366886297465978
80.0,-0.03725280103721307
81.0,-0.03541117959319662
82.0,-0.030448796880222506
83.0,-0.029721095831516386
84.0,-0.042864630337529075
85.0,-0.02050586362050355
86.0,-0.01905643379023214
87.0,-0.034057632894120005
88.0,-0.04046440477913471
89.0,-0.02618495116249564
90.0,-0.022733209496121898
91.0,-0.04179890807347819
92.0,-0.029108882825952254
93.0,-0.01979857914442995
94.0,-0.02448650899320226
95.0,-0.03989566711237291
96.0,-0.03617591024019706
97.0,-0.02434647283640512
98.0,-0.021063271293628727
99.0,-0.02665000400694284
100.0,-0.027332939320963145
101.0,-0.02735080075840557
102.0,-0.026260087997089787
103.0,-0.03057039339290135
104.0,-0.03400366011647282
105.0,-0.033920989915381394
106.0,-0.030686079088997342
107.0,-0.03530937158936931
108.0,-0.031025984287198494
109.0,-0.029957860008233972
110.0,-0.028270595209163307
111.0,-0.03980557780432603
112.0,-0.023958625983937498
113.0,-0.028206675005000292
114.0,-0.022715160869022366
115.0,-0.031152770761850856
116.0,-0.037411947857315386
117.0,-0.0361824642928843
118.0,-0.023525066850935694
119.0,-0.014807142985240329
120.0,-0.017877582280023674
121.0,-0.03621743273118927
122.0,-0.04105703034397612
123.0,-0.023927078669543356
124.0,-0.010316586026426489
125.0,-0.026231684604225425
126.0,-0.02663800181086584
127.0,-0.030546279038148327
128.0,-0.034522983260374396
129.0,-0.03519438019846666
130.0,-0.02863314009831308
131.0,-0.02115914896341886
132.0,-0.03485939408796934
133.0,-0.030462113647844458
134.0,-0.040337226576705465
135.0,-0.0179354109887786
136.0,-0.024938104443263942
137.0,-0.02318752783674327
138.0,-0.023359145516617108
139.0,-0.02540104816291633
140.0,-0.04139747367081226
141.0,-0.03135096262677717
142.0,-0.029153122278047228
143.0,-0.028245184307333915
144.0,-0.03157385351666209
145.0,-0.03778521839777227
146.0,-0.028567775692698305
147.0,-0.021263433995162284
148.0,-0.029608258402142873
149.0,-0.0282714700014286
150.0,-0.023998576901538282
151.0,-0.018783942962923295
152.0,-0.018791100310777686
153.0,-0.021468841464222788
154.0,-0.029014269565332818
155.0,-0.03471297778494753
156.0,-0.015910936224323713
157.0,-0.0005626320747764701
158.0,-0.0029459170127910106
159.0,-0.014914656164852769
160.0,-0.03759920779675685
161.0,-0.02899695477517783
162.0,-0.02649424895948327
163.0,-0.029526386285716466
164.0,-0.02000828668165866
165.0,-0.03443861186413155
166.0,-0.024202882857844443
167.0,-0.03525714499047705
168.0,-0.02728701268265077
169.0,-0.020258996687414488
170.0,-0.013452799777144975
171.0,-0.022114407554847393
172.0,-0.04124086852053788
173.0,-0.02139214223543462
174.0,-0.014728786535811444
175.0,-0.010594339985319223
176.0,-0.019460844592704696
177.0,-0.024553109870708578
178.0,-0.02838578246569634
179.0,-0.03386801356125124
180.0,-0.01094407955527732
181.0,-0.010659570554052422
182.0,-0.00777402198177457
183.0,-0.017209342219277612
184.0,-0.016631386998682274
185.0,-0.012227238349822311
186.0,-0.00531273909377461
187.0,-0.02719213431416234
188.0,-0.026925672871798145
189.0,-0.020493997125150543
190.0,-0.03203877111167097
191.0,-0.03198325106601674
192.0,-0.010365799488338823
193.0,-0.025016923672240843
194.0,-0.03529356898046787
195.0,-0.0360691121085055
196.0,-0.02468312101908232
197.0,-0.0036139654079136996
198.0,-0.004482695012606452
199.0,0.0015497760049409948
200.0,0.0029536788337969355
201.0,0.0010973267813074727
202.0,-0.00953032680761412
203.0,-0.023638813531003944
204.0,-0.02406905123155001
205.0,-0.022506624526941188
206.0,-0.02487679629390005
207.0,-0.03765098436167236
208.0,-0.034583346631855694
209.0,-0.009502854576903808
210.0,-0.0039031289035684757
211.0,0.005631847153164671
212.0,-0.007547909664564756
213.0,-0.01195425177139331
214.0,-0.014917036858022037
215.0,-0.039095024020454616
216.0,-0.015701901565174925
217.0,0.011767544060128365
218.0,0.001242468626370119
219.0,-0.006137080720933774
220.0,-0.012978201988609328
221.0,-0.04270497774616855
222.0,-0.025627000268735323
223.0,-0.014958869362515781
224.0,-0.007539711821953343
225.0,-0.0163297686063002
226.0,-0.008210221650279959
227.0,-0.010680145382846451
228.0,-0.01682004341352572
229.0,-0.021874266451378244
230.0,-0.021917714296513235
231.0,-0.01759040324313954
232.0,-0.02485222012434729
233.0,-0.0060875980436780885
234.0,-0.005222330594054636
235.0,-0.0040663605226032296
236.0,-0.01818366135924565
237.0,-0.018130219021137428
238.0,-0.027772759784772116
239.0,-0.03192563856642572
240.0,-0.01050457246845271
241.0,-0.009184988938373273
