time_s,freq_dev_hz
0.0,-0.018998889866339574
1.0,-0.021739459645466752
2.0,-0.004998601634536026
3.0,-0.023092478910979874
4.0,-0.025877577262922724
5.0,-0.005604514523511739
6.0,0.0002959875145780444
7.0,0.001589894373648093
8.0,-0.011553022711603411
9.0,0.00499239902028048
10.0,0.0057153273808552285
11.0,0.0076385427669478645
12.0,-0.003431260160395855
13.0,-0.01202348453800628
14.0,-0.021664505844767312
15.0,-0.021187298903524443
16.0,-0.01773463954842569
17.0,-0.023689195625240522
18.0,-0.022877489809398632
19.0,-0.022265211540073437
20.0,-0.01677134315673845
21.0,-0.008545007960107931
22.0,-0.0035450455461627506
23.0,-0.009118906888267997
24.0,0.0033269232083377176
25.0,-0.007395279452415693
26.0,-0.018866699561796985
27.0,-0.023726716672096693
28.0,-0.023268479705857992
29.0,-0.0021714205859657554
30.0,-0.004906215194737662
31.0,-0.0295429567633132
32.0,-0.0272207638560662
33.0,-0.020074535055318865
34.0,-0.019990098469009343
35.0,-0.023216826660776846
36.0,-0.026743068676133852
37.0,-0.019417933826311184
38.0,-0.018490050957638005
39.0,-0.02642087140553029
40.0,-0.025991148249591145
41.0,-0.034819486765942376
42.0,-0.01810836201912913
43.0,-0.02832717750827607
44.0,-0.01642529950629079
45.0,-0.018591000395054014
46.0,-0.025015600642108726
47.0,-0.017457927198258893
48.0,-0.01895835632097942
49.0,-0.027445091489948226
50.0,-0.01744978720645829
51.0,-0.03048341890213191
52.0,-0.016858849963725664
53.0,-0.03438409552137811
54.0,-0.03548621266691754
55.0,-0.024285209025227683
56.0,-0.01554695477909318
57.0,-0.009532969083978493
58.0,-0.011002810523759177
59.0,-0.017506550450763214
60.0,-0.034118382880441445
61.0,-0.040797032349428886
62.0,-0.022913158276838264
63.0,-0.012232602980961627
64.0,-0.012291062556881727
65.0,-0.02037779846109311
66.0,-0.022188381718522
67.0,-0.019902207345570133
68.0,-0.040073679108556526
69.0,-0.03072230816416388
70.0,-0.01744666788400462
71.0,-0.029571973875566204
72.0,-0.020399744712515933
73.0,-0.012586311854225762
74.0,-0.014495010737165526
75.0,-0.03647357105484028
76.0,-0.029672061042760323
77.0,-0.005723729779951725
78.0,-0.022022523169400454
79.0,-0.027221543639270873
80.0,-0.017992330993648054
81.0,-0.02456145039005042
82.0,-0.03211301178868364
83.0,-0.032642481741924634
84.0,-0.040792071482405046
85.0,-0.020277864562796566
86.0,-0.01783474368895588
87.0,-0.016281020432269422
88.0,-0.015315844330734407
89.0,-0.03762428927092776
90.0,-0.036071895709834934
91.0,-0.028611632222852457
92.0,-0.029852918277335494
93.0,-0.0233930579885544
94.0,-0.01811123235345269
95.0,-0.02454496205542611
96.0,-0.03675536187608408
97.0,-0.04029096458662007
98.0,-0.03056509049222944
99.0,-0.02465085691508051
100.0,-0.0269975260124955
101.0,-0.02608323728919837
102.0,-0.01809205390064683
103.0,-0.025672849048274937
104.0,-0.023372307942173265
105.0,-0.031044623285310102
106.0,-0.04380777226944854
107.0,-0.034078434925144396
108.0,-0.02089650491690742
109.0,-0.022540593103832496
110.0,-0.022101151871876112
111.0,-0.027482509452756432
112.0,-0.03890278410252357
113.0,-0.03679755599816703
114.0,-0.04222412222187
115.0,-0.03375878941045407
116.0,-0.027689962414945146
117.0,-0.029107506085477297
118.0,-0.026397715265451538
119.0,-0.02000072097545713
120.0,-0.037253112748030226
121.0,-0.03963693495462106
122.0,-0.0273864647077926
123.0,-0.03089023165016025
124.0,-0.04223353328001611
125.0,-0.03668164928569251
126.0,-0.019443598878414736
127.0,-0.02952792540221072
128.0,-0.03493853667118296
129.0,-0.0407979112326351
130.0,-0.03538665683621822
131.0,-0.038990313020084155
132.0,-0.021616642983686152
133.0,-0.019459589835033597
134.0,-0.037169245459756084
135.0,-0.031798789531389815
136.0,-0.022609388189840374
137.0,-0.036637537649368834
138.0,-0.03328671506094949
139.0,-0.04231232040937005
140.0,-0.03010964218307599
141.0,-0.029574687009037426
142.0,-0.03170274320512423
143.0,-0.043931226871603
144.0,-0.02898053136868306
145.0,-0.023931622022776988
146.0,-0.025003788407065297
147.0,-0.03021685359721582
148.0,-0.024406451334466617
149.0,-0.03807655360400508
150.0,-0.025364937765777196
151.0,-0.030091835377585863
152.0,-0.03863931882682081
153.0,-0.03714948315845401
154.0,-0.029926433443117073
155.0,-0.03768960578206748
156.0,-0.029158183535133997
157.0,-0.03169060586252659
158.0,-0.040895180620179605
159.0,-0.03508288613701671
160.0,-0.024412677751641798
161.0,-0.03932290598193555
162.0,-0.033069705842534436
163.0,-0.034338784333609595
164.0,-0.043032737309098845
165.0,-0.03625946502523458
166.0,-0.037292249795026766
167.0,-0.03263381725190584
168.0,-0.03481144571908068
169.0,-0.033221149852113996
170.0,-0.02540468619085523
171.0,-0.03626052364174237
172.0,-0.03812732555626752
173.0,-0.03720745310973994
174.0,-0.033224418235564546
175.0,-0.02653392365735696
176.0,-0.033633516013584774
177.0,-0.025835165481575828
178.0,-0.042527057161230175
179.0,-0.031332092665030675
180.0,-0.033460465294183894
181.0,-0.04013449071144981
182.0,-0.0381022071153736
183.0,-0.023994366143229584
184.0,-0.038530440934698706
185.0,-0.04055790453620478
186.0,-0.029355837295472753
187.0,-0.026311251018269477
