time_s,freq_dev_hz
0.0,-0.03662298542836062
1.0,-0.03972553267690637
2.0,-0.037182156458985816
3.0,-0.034510161531249306
4.0,-0.036490480466657704
5.0,-0.038960388914330846
6.0,-0.04608973038417785
7.0,-0.03867758902071472
8.0,-0.026758444945251814
9.0,-0.04637415694617397
10.0,-0.03453962675588951
11.0,-0.040578254681786774
12.0,-0.04800239549050067
13.0,-0.035484769329934274
14.0,-0.03773960645116592
15.0,-0.039955284965813576
16.0,-0.03031806963490702
17.0,-0.04008526475798968
18.0,-0.04010046573281523
19.0,-0.03316207542044758
20.0,-0.04333601683343957
21.0,-0.03876659450822828
22.0,-0.03787895404383734
23.0,-0.03795303242234871
24.0,-0.04182522899770502
25.0,-0.04057196521230155
26.0,-0.03034311018332181
27.0,-0.04906673392143013
28.0,-0.03223478509133182
29.0,-0.03454451803890812
30.0,-0.044157162600602096
31.0,-0.034868430730590205
32.0,-0.041034744446848403
33.0,-0.03810547891554439
34.0,-0.035713095440585985
35.0,-0.04300848228893317
36.0,-0.029655273314812547
37.0,-0.04113869455732777
38.0,-0.038669356235507824
39.0,-0.034389872761657614
40.0,-0.038870942124056285
41.0,-0.028136422705842268
42.0,-0.03921798341496752
43.0,-0.04210616248150778
44.0,-0.03411664821237226
45.0,-0.03148590178135402
46.0,-0.04931735218198119
47.0,-0.02738970259523743
48.0,-0.03962468531271357
49.0,-0.04121419804500315
50.0,-0.03089473310580182
51.0,-0.04876190745117137
52.0,-0.02352962745758802
53.0,-0.03679921898891214
54.0,-0.04426238374146907
55.0,-0.02823898221324228
56.0,-0.046229378528472864
57.0,-0.03487450898880695
58.0,-0.03852425181981811
59.0,-0.03953623675811313
60.0,-0.033781125063814255
61.0,-0.03908659257539249
62.0,-0.039822646336307166
63.0,-0.024394689082847254
64.0,-0.046429189783527836
65.0,-0.027519704498712994
66.0,-0.04145486397640008
67.0,-0.04328457697830412
68.0,-0.025177579956916496
69.0,-0.033222720844650055
70.0,-0.03688135853851415
71.0,-0.03908420996355799
72.0,-0.035253318702404
73.0,-0.04165196281083361
74.0,-0.04146571803178789
75.0,-0.03946513435133081
76.0,-0.028522969655611075
77.0,-0.034061621286929356
78.0,-0.02979957599292593
79.0,-0.034337937913875294
80.0,-0.04510891963076302
81.0,-0.038963598677113076
82.0,-0.02227469720268216
83.0,-0.03169380249699705
84.0,-0.043222004822047744
85.0,-0.03660065448953587
86.0,-0.02650640983985264
87.0,-0.03670353563483886
88.0,-0.03723129870307318
89.0,-0.03964229941026076
90.0,-0.03998176291861055
91.0,-0.03490231043172809
92.0,-0.03349878755448232
93.0,-0.03642218530926167
94.0,-0.03930892993769364
95.0,-0.036077025716094724
96.0,-0.035597721778402036
97.0,-0.04540640700356535
98.0,-0.031395847061179705
99.0,-0.025421394898672567
100.0,-0.03780295189169225
101.0,-0.03633796854574545
102.0,-0.04351631901668318
103.0,-0.03334664202660598
104.0,-0.03258440359112269
105.0,-0.03984344696527309
106.0,-0.02485844942831328
107.0,-0.02601084053418745
108.0,-0.03153974687359229
109.0,-0.04377194256383943
110.0,-0.04349248922530302
111.0,-0.0393670429560844
112.0,-0.0320767803824884
113.0,-0.0347505433009454
114.0,-0.024260376047340326
115.0,-0.029271780504358524
116.0,-0.030790226724113356
117.0,-0.034304590728888584
118.0,-0.03981677970176234
119.0,-0.03546064137649907
120.0,-0.02489947714473084
121.0,-0.04160645979220057
122.0,-0.02848111352319771
123.0,-0.03365260912908674
124.0,-0.04890733570760197
125.0,-0.021306417382145337
126.0,-0.0040961462901956125
127.0,-0.020636683788368693
128.0,-0.04759237639615721
129.0,-0.04287916656840807
130.0,-0.01716189822542402
131.0,-0.03306982606224196
132.0,-0.03884135918569731
133.0,-0.03762831978030068
134.0,-0.04870350290276715
135.0,-0.014760180130601874
136.0,-0.025122181100181162
137.0,-0.04014297484037588
138.0,-0.04326828193786714
139.0,-0.03192407001118669
140.0,-0.0355071065018131
141.0,-0.03562841004073336
142.0,-0.03853168675055585
143.0,-0.033251101681111006
144.0,-0.03900561722633311
145.0,-0.033344751951569496
146.0,-0.03775028805077074
147.0,-0.03636726129048862
148.0,-0.040305999550240834
149.0,-0.029298978831255873
150.0,-0.01689486134147211
151.0,-0.03992686990333727
152.0,-0.03180364197931329
153.0,-0.02966570635551724
154.0,-0.034362851286260376
155.0,-0.043696427295487617
156.0,-0.011790259516664126
157.0,-0.043323729454858295
158.0,-0.03661859137817691
159.0,-0.024778134266159046
160.0,-0.025635366543161897
161.0,-0.035438023619338566
162.0,-0.040197721133741204
163.0,-0.0357856077188079
164.0,-0.036478033513669406
165.0,-0.03665706352328657
166.0,-0.03338324782501845
167.0,-0.03351127366270967
168.0,-0.03338897754036063
169.0,-0.04103353140034516
170.0,-0.03446471959376973
171.0,-0.006669344923440068
172.0,-0.02575361905936102
173.0,-0.0398557488486051
174.0,-0.037114954389949606
175.0,-0.034306474704897116
176.0,-0.04338882957224177
177.0,-0.034031437237356243
178.0,-0.021987653113184624
179.0,-0.03165993642139986
180.0,-0.02931216920033286
181.0,-0.024239761237407897
182.0,-0.02781883639993543
183.0,-0.0425086073180303
184.0,-0.038453625915899625
185.0,-0.03392452843487215
186.0,-0.03837690998997445
187.0,-0.033299450571588896
188.0,-0.0247020288666433
189.0,-0.035670716263771496
190.0,-0.03973304116258625
191.0,-0.03407267482606002
192.0,-0.03642592386266852
193.0,-0.035412573316619955
194.0,-0.03401103819895113
195.0,-0.04050112957201479
196.0,-0.029711909999414754
197.0,-0.01895329316741634
198.0,-0.025167622397226364
199.0,-0.029118408997017564
200.0,-0.03199741113200316
201.0,-0.034612546595576
202.0,-0.030646899659036997
203.0,-0.03299506314838219
204.0,-0.020953343224354715
205.0,-0.029882785394521605
206.0,-0.035291551318377135
207.0,-0.03172725000704535
208.0,-0.04035390642161074
209.0,-0.03940340327928338
210.0,-0.019633413317940995
211.0,-0.022375239518375167
212.0,-0.02825871652138323
213.0,-0.03080383986242996
214.0,-0.04211957639065789
215.0,-0.02953087728835957
216.0,-0.02416633148973224
217.0,-0.014769890760502058
218.0,-0.03477727415329035
219.0,-0.03100448868655903
220.0,-0.03406912601072509
221.0,-0.035829879776947404
222.0,-0.041214061876539976
223.0,-0.01877095693736175
224.0,-8.753795615712434e-05
225.0,-0.021655415038579484
226.0,-0.05083570068739274
227.0,-0.03431214141810246
228.0,-0.020782860842289974
229.0,-0.02071220555482922
230.0,-0.03562948812342981
231.0,-0.029225769090899245
232.0,-0.03379327143203881
233.0,-0.036681075147655395
234.0,-0.0384427669753129
235.0,-0.04331482961144273
236.0,-0.02456707378835077
237.0,-0.016450603417776932
238.0,-0.0231607401424605
239.0,-0.016825525635975058
240.0,-0.024777655834504753
241.0,-0.03313135991757976
242.0,-0.03543600718673767
243.0,-0.040370687369675196
244.0,-0.027646477395433244
245.0,-0.03842728219838554
246.0,-0.034052845645815566
247.0,-0.03340811516935549
248.0,-0.03202884471714462
249.0,-0.032999126407151635
250.0,-0.037899913880463654
251.0,-0.023680143643409757
252.0,-0.019330430883133243
253.0,-0.023553396379145664
254.0,-0.02022404514222309
255.0,-0.025369485662050106
256.0,-0.033301841776769425
257.0,-0.04066914274011291
258.0,-0.031663684361098454
259.0,-0.03150249787926995
260.0,-0.03786654956386748
261.0,-0.028297286707315017
262.0,-0.026521784744668597
263.0,-0.025300789062527862
264.0,-0.03007697324536096
265.0,-0.02736894940888135
266.0,-0.010297798240539446
267.0,-0.020145257546688722
268.0,-0.04283226515588101
269.0,-0.03674521171816325
270.0,-0.032082073877783834
271.0,-0.03681062585856765
272.0,-0.029858392166324244
273.0,-0.028283688065529056
274.0,-0.024024987911477336
275.0,-0.025735920175142812
276.0,-0.03574909412667804
277.0,-0.04058433463527411
278.0,-0.026587557411734686
279.0,-0.02090665737666031
280.0,-0.025488902020518456
281.0,-0.03381628787665569
282.0,-0.019370043268884807
283.0,-0.004655954807550877
284.0,-0.016187772667126676
285.0,-0.02493936399417418
286.0,-0.03443272103998307
287.0,-0.03713809584315664
288.0,-0.02778637678648499
289.0,-0.03487195293987444
290.0,-0.03120775455099256
291.0,-0.02911008606286236
292.0,-0.0316410305986059
293.0,-0.021011186046779873
294.0,-0.03125061272011287
295.0,-0.02883040198176756
296.0,-0.030837923382789345
297.0,-0.019200694104526406
298.0,-0.012187268003096552
299.0,-0.02983938145902254
300.0,-0.03598991803500651
301.0,-0.02264817291115495
302.0,-0.013855808662128766
303.0,-0.02846218584136251
304.0,-0.02160132030514683
305.0,-0.03874330175957175
306.0,-0.024566460208577112
307.0,-0.027300941617636187
308.0,-0.02363305188269882
309.0,-0.027857059091014325
310.0,-0.01975613782707608
311.0,-0.019672585423067268
312.0,-0.02529832258187481
313.0,-0.020402894289854867
314.0,-0.03043846634534164
315.0,-0.02571700986443215
316.0,-0.024863923979898672
317.0,-0.01986581255796649
318.0,-0.006778534327092078
319.0,-0.021021271673979935
320.0,-0.0489737388207101
321.0,-0.02924638882523256
322.0,-0.01912420837115958
323.0,-0.021279141682726266
324.0,-0.026588619782226264
325.0,-0.03201331364367732
326.0,-0.01952648560418435
327.0,-0.029719370247733856
328.0,-0.032581126213393485
329.0,-0.029685219562887166
330.0,-0.026054886733115623
331.0,-0.02308149920295044
332.0,-0.02737763595429099
333.0,-0.0307859085589679
334.0,-0.024098572925819184
335.0,-0.016990602745596828
336.0,-0.021336746179125843
337.0,-0.03631592547004736
