threshold_hz,share_abs_gt,share_abs_ge
0.01,0.8023263888888889,0.8023263888888889
0.02,0.5863310185185185,0.5863310185185185
0.036,0.23096064814814815,0.23096064814814815
0.05,0.028680555555555556,0.028680555555555556
0.06,0.0050810185185185186,0.0050810185185185186
0.08,0.0002546296296296296,0.0002546296296296296
0.1,0.0,0.0
