time_s,freq_dev_hz,gov_droop_sum,gov_active_count,gov_pe_sum,pvd_droop_sum,pvd_active_count,pvd_pe_sum,pvd_pref_sum,pvd_pavail_sum,pvd_pext0_sum,esd_droop_sum,esd_active_count,esd_pe_sum,esd_pref_sum,esd_pext0_sum,esd_soc_mean,esd_soc_min,esd_soc_max,esd_soc_1,esd_soc_2,gov_paux0_sum,dg_pext0_sum,gov_pref0_sum,agc_request_sum_total,agc_update,gov_pe_sum_delta,pvd_pe_sum_delta,esd_pe_sum_delta,gov_pref0_sum_delta,pvd_pref_sum_delta,esd_pref_sum_delta
241.0,0.06290965449833319,-0.21832503796675223,25,5.853869662610719,-0.33456015439389336,22,6.668578580901061,6.992444918305746,7.135147875822188,0.0,-0.14804584037650384,2,-0.14673007901662885,0.0,0.0,0.5110631892360451,0.5110623479252215,0.5110640305468686,0.5110640305468686,0.5110623479252215,-0.3919124093881977,0.0,6.442468985674672,-0.3919124093881977,0,-0.391879407138342,-0.2559964788825084,-0.0750844806182766,-0.1968534332392906,-0.018817972675113204,0.0
242.0,0.06159696159114603,-0.21892840121072982,25,5.831367125057362,-0.3229310841385955,22,6.679886881302514,7.006578067846858,7.149569456986588,0.0,-0.1444891065364341,2,-0.1442383069924982,0.0,0.0,0.5110849337743626,0.5110840923915371,0.5110857751571882,0.5110857751571882,0.5110840923915371,-0.3919124093881977,0.0,6.441652166468316,-0.3919124093881977,0,-0.41438194469169876,-0.24468817848105484,-0.07259270859414596,-0.19767025244564707,-0.004684823134001093,0.0
243.0,0.05536026682890327,-0.1930760482257783,25,5.825901340150082,-0.26306100761806894,22,6.71433138837174,7.001966462422331,7.144863737165645,0.0,-0.1260732523009382,2,-0.13343365531010037,0.0,0.0,0.5111057971298862,0.5111049595165298,0.5111066347432426,0.5111066347432426,0.5111049595165298,-0.3919124093881977,0.0,6.4408353472619595,-0.3919124093881977,0,-0.4198477295989784,-0.21024367141182942,-0.06178805691174813,-0.19848707165200352,-0.009296428558528191,0.0
244.0,0.06623354274562843,-0.23023313416613073,25,5.864065339865547,-0.36555951560033795,22,6.664236489514662,6.994297940916325,7.137038715220741,0.0,-0.15730828137591182,2,-0.14760041367614937,0.0,0.0,0.511126558621765,0.5111257187501278,0.5111273984934024,0.5111273984934024,0.5111257187501278,-0.3916174078164967,0.0,6.440018528055603,-0.3916174078164967,1,-0.3816837298835134,-0.2603385702689067,-0.07595481527779713,-0.19930389085835998,-0.016964950064534356,0.0
245.0,0.05888708744560045,-0.20465826392748487,25,5.833734164523591,-0.2969934979794466,22,6.66555385853221,6.986061013967068,7.128633687721496,0.0,-0.13672616683909927,2,-0.14440234329042173,0.0,0.0,0.5111486111675301,0.5111477713144662,0.511149451020594,0.511149451020594,0.5111477713144662,-0.3916174078164967,0.0,6.439201708849247,-0.3916174078164967,0,-0.4120149052254698,-0.2590212012513593,-0.07275674489206949,-0.20012071006471643,-0.025201877013791396,0.0
246.0,0.05828096754918022,-0.21143464331845863,25,5.8109335159503175,-0.29122803314527856,22,6.725707988210629,7.020580132548936,7.163857278111158,0.0,-0.1344596563979368,2,-0.13164836622829199,0.0,0.0,0.5111690827969017,0.5111682471878247,0.5111699184059786,0.5111699184059786,0.5111682471878247,-0.3916174078164967,0.0,6.438384889642889,-0.3916174078164967,0,-0.43481555379874326,-0.19886707157294037,-0.06000276782993974,-0.20093752927107378,0.009317241568076895,0.0
247.0,0.06256525655615519,-0.21143894691464143,25,5.86560882381524,-0.3307186926139738,22,6.675201846548592,6.999919085207036,7.142774576741873,0.0,-0.1467268112241112,2,-0.1461313137467696,0.0,0.0,0.5111898944679679,0.5111890546067303,0.5111907343292056,0.5111907343292056,0.5111890546067303,-0.3916174078164967,0.0,6.437568070436533,-0.3916174078164967,0,-0.3801402459338208,-0.24937321323497752,-0.07448571534841736,-0.20175434847743023,-0.01134380577382288,0.0
248.0,0.05438960760469236,-0.19096949148498646,25,5.816380204906417,-0.2535395986659751,22,6.715636838268428,6.990971296146333,7.133644179741157,0.0,-0.12319973227636591,2,-0.13081723596695985,0.0,0.0,0.5112106885028876,0.5112098521071506,0.5112115248986246,0.5112115248986246,0.5112098521071506,-0.3970085099748855,0.0,6.436751251230176,-0.3970085099748855,1,-0.4293688648426439,-0.2089382215151412,-0.059171637568607605,-0.2025711676837867,-0.020291594834525917,0.0
249.0,0.06365100972496762,-0.22132667015681562,25,5.852279518739311,-0.3409298143785634,22,6.687471635047095,7.0011972216131255,7.1440787975644175,0.0,-0.1496043842952985,2,-0.14088506540647072,0.0,0.0,0.5112307665104212,0.511229929989072,0.5112316030317703,0.5112316030317703,0.511229929989072,-0.3970085099748855,0.0,6.435934432023819,-0.3970085099748855,0,-0.39346955100974945,-0.23710342473647383,-0.06923946700811848,-0.20338798689014403,-0.010065669367733676,0.0
250.0,0.05357382582840131,-0.1856171980763922,25,5.8185223202700955,-0.2459347849174965,22,6.7272999792405805,7.008203658735999,7.151228223200002,0.0,-0.12079267698152532,2,-0.13005380136218114,0.0,0.0,0.5112512631247704,0.5112504277825012,0.5112520984670397,0.5112520984670397,0.5112504277825012,-0.3970085099748855,0.0,6.4351176128174625,-0.3970085099748855,0,-0.4272267494789652,-0.1972750805429886,-0.0584082029638289,-0.2042048060965005,-0.003059232244860155,0.0
251.0,0.07095214198487465,-0.24742289738849943,25,5.869719876248902,-0.4103164793416659,22,6.648289224608051,7.001533660224015,7.144422102269403,0.0,-0.1709358686444351,2,-0.15400742517837424,0.0,0.0,0.5112721159587634,0.5112712739697821,0.5112729579477446,0.5112729579477446,0.5112712739697821,-0.3970085099748855,0.0,6.434300793611106,-0.3970085099748855,0,-0.37602919350015895,-0.27628583517551775,-0.08236182678002199,-0.20502162530285695,-0.009729230756843954,0.0
252.0,0.05256225344886012,-0.18339540549999528,25,5.799624162382731,-0.23759787396611917,22,6.703911985712302,7.004079402379059,7.147019798345979,0.0,-0.11863811218105377,2,-0.13636892867853642,0.0,0.0,0.5112942912126565,0.5112934503132733,0.5112951321120396,0.5112951321120396,0.5112934503132733,-0.4028902257152361,0.0,6.43348397440475,-0.4028902257152361,1,-0.4461249073663298,-0.2206630740712674,-0.06472333028018418,-0.2058384445092134,-0.007183488601800292,0.0
253.0,0.06771960422067735,-0.2410742822574109,25,5.840306633300717,-0.380035688396469,22,6.677303935054315,7.008408354266987,7.151437096190804,0.0,-0.1616052964722663,2,-0.14614283490166835,0.0,0.0,0.511314932737218,0.5113140906092752,0.5113157748651606,0.5113157748651606,0.5113140906092752,-0.4028902257152361,0.0,6.432667155198393,-0.4028902257152361,0,-0.405442436448344,-0.24727112472925405,-0.0744972365033161,-0.20665526371556986,-0.0028545367138725908,0.0
254.0,0.054612717687128054,-0.18553998063360527,25,5.818611660466594,-0.25625792001619896,22,6.691871541792405,6.996780477202685,7.139571915512945,0.0,-0.12427833832121883,2,-0.13954470604088903,0.0,0.0,0.5113367202516035,0.5113358786816479,0.5113375618215591,0.5113375618215591,0.5113358786816479,-0.4028902257152361,0.0,6.431850335992036,-0.4028902257152361,0,-0.4271374092824667,-0.2327035179911645,-0.06789910764253679,-0.2074720829219272,-0.014482413778174497,0.0
255.0,0.06264427147175233,-0.22320808242770074,25,5.82392265808851,-0.33174949197161036,22,6.694120567978663,6.995677724848573,7.138446658008746,0.0,-0.1468809683109174,2,-0.13809997965930298,0.0,0.0,0.5113571173763554,0.5113562777571458,0.511357956995565,0.511357956995565,0.5113562777571458,-0.4028902257152361,0.0,6.431033516785679,-0.4028902257152361,0,-0.42182641166055035,-0.23045449180490607,-0.06645438126095074,-0.20828890212828366,-0.015585166132286332,0.0
256.0,0.05941469664997978,-0.20355928601761997,25,5.830999917556172,-0.30143003471246693,22,6.682531670772197,7.001019888036178,7.1438978449348784,0.0,-0.13784905450286206,2,-0.1422655514447281,0.0,0.0,0.5113782613731636,0.5113774203260237,0.5113791024203034,0.5113791024203034,0.5113774203260237,-0.40136430444040594,0.0,6.430216697579323,-0.401364304440406,1,-0.414749152192889,-0.24204338901137223,-0.07061995304637586,-0.20910572133464012,-0.010243002944680946,0.0
257.0,0.062497712376932135,-0.22175583311290803,25,5.820328212286057,-0.3308679682329855,22,6.6832887567812875,7.001875815353284,7.1447712401564125,0.0,-0.14677633999655193,2,-0.14228313240675267,0.0,0.0,0.5113993843291457,0.5113985425443888,0.5114002261139026,0.5114002261139026,0.5113985425443888,-0.40136430444040594,0.0,6.429399878372966,-0.401364304440406,0,-0.4254208574630036,-0.2412863030022816,-0.07063753400840042,-0.20992254054099746,-0.00938707562757557,0.0
258.0,0.06024809823008681,-0.210739809288726,25,5.818039339815492,-0.30984323197544783,22,6.690078568043609,7.01266191374857,7.155777463008745,0.0,-0.1404139896152235,2,-0.14241368772643875,0.0,0.0,0.5114207515755925,0.5114199085320009,0.5114215946191841,0.5114215946191841,0.5114199085320009,-0.40136430444040594,0.0,6.428583059166609,-0.401364304440406,0,-0.4277097299335688,-0.2344964917399599,-0.07076808932808651,-0.21073935974735392,0.0013990227677105338,0.0
259.0,0.0586255050858675,-0.20364357142073547,25,5.819462564767269,-0.29373640299721526,22,6.693052052321559,6.992858948423463,7.135570355534145,0.0,-0.13549491542328584,2,-0.13870306427699292,0.0,0.0,0.511441775330327,0.5114409334962049,0.511442617164449,0.511442617164449,0.5114409334962049,-0.40136430444040594,0.0,6.427766239960253,-0.401364304440406,0,-0.42628650498179166,-0.23152300746200982,-0.06705746587864067,-0.21155617895371037,-0.018403942557395858,0.0
260.0,0.05745458363023204,-0.20093504851847838,25,5.813564498023105,-0.28241047409614173,22,6.713333703629917,7.000787317757541,7.1436605283240215,0.0,-0.13183584350840846,2,-0.13291735042353534,0.0,0.0,0.5114620414629516,0.5114612030702016,0.5114628798557015,0.5114628798557015,0.5114612030702016,-0.40175910261262626,0.0,6.426949420753896,-0.40175910261262626,1,-0.4321845717259558,-0.2112413561536517,-0.06127175202518309,-0.21237299816006683,-0.010475573223318158,0.0
261.0,0.0637011191581971,-0.21997031789248392,25,5.839010683127295,-0.34158782648352803,22,6.67527491621964,6.9989893081614785,7.141825824654573,0.0,-0.1499701795738603,2,-0.14451911905526,0.0,0.0,0.5114826824121694,0.5114818416570294,0.5114835231673094,0.5114835231673094,0.5114818416570294,-0.40175910261262626,0.0,6.42613260154754,-0.40175910261262626,0,-0.40673838662176554,-0.2493001435639295,-0.07287352065690775,-0.21318981736642328,-0.012273582819380735,0.0
262.0,0.05396158698557141,-0.18921898060899867,25,5.79734034787772,-0.24989175332954172,22,6.7223630334465385,7.0043315027006186,7.14727704357206,0.0,-0.12204223758518037,2,-0.13059442266634266,0.0,0.0,0.5115034285939848,0.5115025897201598,0.5115042674678097,0.5115042674678097,0.5115025897201598,-0.40175910261262626,0.0,6.425315782341182,-0.40175910261262626,0,-0.44840872187134106,-0.20221202633703061,-0.05894882426799042,-0.21400663657278063,-0.006931388280240647,0.0
263.0,0.06752075793120316,-0.2338481742188896,25,5.848886438910059,-0.3775468335516099,22,6.659209529268645,6.994625311218234,7.137372766549216,0.0,-0.1609110151299659,2,-0.14893388162735408,0.0,0.0,0.5115240304611073,0.5115231876742986,0.5115248732479158,0.5115248732479158,0.5115231876742986,-0.40175910261262626,0.0,6.424498963134826,-0.40175910261262626,0,-0.396862630839002,-0.2653655305149245,-0.07728828322900183,-0.21482345577913708,-0.01663757976262481,0.0
264.0,0.0596493838823875,-0.21016682853010152,25,5.800669983103251,-0.30481584305700904,22,6.676924064879642,7.0094564762579825,7.152506608426513,0.0,-0.13909398467710188,2,-0.14503367799028932,0.0,0.0,0.511546233970221,0.5115453889982221,0.5115470789422201,0.5115470789422201,0.5115453889982221,-0.4078656515467647,0.0,6.4236821439284695,-0.40786565154676463,1,-0.4450790866458094,-0.2476509949039274,-0.07338807959193708,-0.21564027498549354,-0.0018064147228766814,0.0
265.0,0.05674491030013051,-0.20004227893839632,25,5.796831257809423,-0.2762293242467718,22,6.7125001026260405,7.001075699805585,7.143954795719985,0.0,-0.1300501226838195,2,-0.13369244037688705,0.0,0.0,0.5115670311469258,0.5115661892725348,0.5115678730213168,0.5115678730213168,0.5115661892725348,-0.4078656515467647,0.0,6.422865324722112,-0.40786565154676463,0,-0.448917811939638,-0.21207495715752867,-0.0620468419785348,-0.21645709419185089,-0.010187191175274002,0.0
266.0,0.06114765511914477,-0.2089032759706353,25,5.830263906546046,-0.3169721371631339,22,6.679645902509746,6.985720930574527,7.128286663851558,0.0,-0.14247684764481244,2,-0.1409906890288081,0.0,0.0,0.5115874959815442,0.5115866541304527,0.5115883378326357,0.5115883378326357,0.5115866541304527,-0.4078656515467647,0.0,6.422048505515756,-0.40786565154676463,0,-0.415485163203015,-0.24492915727382325,-0.06934509063045585,-0.21727391339820734,-0.02554196040633183,0.0
267.0,0.05838635252623181,-0.20554143513944786,25,5.801020600081229,-0.2916199373473236,22,6.699715038485605,6.999374870784237,7.1422192559022815,0.0,-0.13473506250678602,2,-0.13576026294308996,0.0,0.0,0.511608197326167,0.5116073571530634,0.5116090374992708,0.5116090374992708,0.5116073571530634,-0.4078656515467647,0.0,6.421231686309399,-0.40786565154676463,0,-0.4447284696678313,-0.2248600212979639,-0.06411466454473772,-0.2180907326045638,-0.011888020196622051,0.0
268.0,0.061738469034788857,-0.2148123786146958,25,5.818039822081454,-0.32329385988870185,22,6.6864321862968605,7.002843799649443,7.1457589792341265,0.0,-0.14436036429462323,2,-0.14117179379940972,0.0,0.0,0.5116288336092041,0.511627992048124,0.5116296751702841,0.5116296751702841,0.511627992048124,-0.4059607334796248,0.0,6.420414867103043,-0.4059607334796248,1,-0.42770924766760654,-0.2381428734867086,-0.06952619540105748,-0.21890755181092025,-0.008419091331416162,0.0
269.0,0.057699923139513665,-0.20098013567118778,25,5.802914990575361,-0.28511678077686814,22,6.701068897156523,7.001204282778549,7.144086002835255,0.0,-0.13280981997785846,2,-0.13668191106920075,0.0,0.0,0.5116496921245881,0.5116488502970473,0.5116505339521288,0.5116505339521288,0.5116488502970473,-0.4059607334796248,0.0,6.419598047896686,-0.4059607334796248,0,-0.4428340791737,-0.22350616262704648,-0.0650363126708485,-0.2197243710172767,-0.010058608202310637,0.0
