samples,mean_abs_hz,p95_abs_hz,p99_abs_hz,max_abs_hz,share_abs_gt_0p036,share_abs_gt_0p05,edge_mass_36,edge_pos_36,edge_neg_36,edge_asymmetry_36,esd_throughput,pvd_effort,gov_droop_effort,post_min_hz,post_max_hz,post_max_abs_hz,event_rocof_abs_max_hz_s,settle_36mHz_30s_s,case,window,eval_dispatch,load_step_frac,event_time_s,trace_csv
900.0,0.07008773202838793,0.08826810333873669,0.0938722844406074,0.2409360864861987,0.9833333333333333,0.8755555555555555,0.03,0.03,0.0,0.03,94.97660603134894,118.6826252847942,230.21449151171106,-0.2409360864861987,-0.042208882569922945,0.2409360864861987,0.28794071166349466,,baseline_36_36_36,h11d2_h11d3,h11d3,0.05,120,results/load_step_event_check_20260503/h11d2_h11d3_plus5pct_baseline_36_36_36_trace.csv
900.0,0.06109619985931791,0.08075900719930285,0.08640230842430292,0.22582016734669308,0.9477777777777778,0.79,0.07444444444444444,0.06777777777777778,0.006666666666666667,0.061111111111111116,128.2171040317066,119.98551214192469,192.95380533658698,-0.22582016734669308,-0.02433287943175655,0.22582016734669308,0.26825584766408506,,best_36_25_15,h11d2_h11d3,h11d3,0.05,120,results/load_step_event_check_20260503/h11d2_h11d3_plus5pct_best_36_25_15_trace.csv
900.0,0.0412337649397698,0.07284862464705344,0.08126518031386384,0.1401544401110577,0.65,0.37,0.1,0.09888888888888889,0.0011111111111111111,0.09777777777777778,33.39315240063289,108.67574674177689,118.4506027185823,-0.032883897991495825,0.1401544401110577,0.1401544401110577,0.13320890174819855,544.0,baseline_36_36_36,h11d2_h11d3,h11d3,-0.05,120,results/load_step_event_check_20260503/h11d2_h11d3_minus5pct_baseline_36_36_36_trace.csv
900.0,0.039143525597991405,0.06850413895165053,0.07684971798418462,0.13609088119987067,0.5733333333333334,0.3055555555555556,0.18333333333333332,0.18333333333333332,0.0,0.18333333333333332,69.88964819555544,128.60944820757902,108.46166745852568,-0.009502481777665661,0.13609088119987067,0.13609088119987067,0.13069382697266096,565.0,best_36_25_15,h11d2_h11d3,h11d3,-0.05,120,results/load_step_event_check_20260503/h11d2_h11d3_minus5pct_best_36_25_15_trace.csv
