combo_id,wind_deadband_hz,solar_deadband_hz,esd_deadband_hz,window_count,failed_windows,successful_windows,mean_abs_hz,p95_abs_hz,p99_abs_hz,max_abs_hz,share_abs_gt_0p036,share_abs_gt_0p05,edge_mass_36,edge_asymmetry_36,esd_throughput,pvd_effort,gov_droop_effort,filter_fail_max_abs,filter_fail_share_gt_0p05,eligible,rank,count,mean_hz,std_hz,min_hz,p01_hz,p05_hz,median_hz,p95_hz,p99_hz,max_hz,edge_pos_36,edge_neg_36,result_dir,delta_share_abs_gt_0p05,delta_max_abs_hz,delta_edge_mass_36,delta_edge_asymmetry_36,accepted
wind036_pv025_esd015,0.036,0.025,0.015,5,0,5,0.0211298583066252,0.041885631081315,0.0517229771081937,0.0894879623083899,0.1187847222222222,0.0131481481481481,0.12318287037037037,0.007511574074074073,29.04708496808122,18.02872019405802,52.09091581219235,0,0,1,1,86400.0,-0.0006039120778647,0.0244064524525817,-0.0894879623083899,-0.049876464527312,-0.0383875068871194,0.0001014310029967,0.036115757750521,0.044963204571304,0.068000324125399,0.05783564814814815,0.06534722222222222,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd015,-0.015532407407407401,-0.0038513903768255947,-0.04577546296296295,-0.0008912037037036996,1
wind036_pv030_esd015,0.036,0.03,0.015,5,0,5,0.0214143784733525,0.0424051540995127,0.0520717935563371,0.0894890486078736,0.1308680555555555,0.0141435185185185,0.13385416666666666,0.007326388888888896,30.38082874256246,14.31126512897227,53.86222441181085,0,0,1,2,86400.0,-0.0006046075148878,0.0247730190378762,-0.0894890486078736,-0.0501006931690406,-0.03894746440918,6.0251271931655026e-05,0.0370500823269568,0.045608170976465,0.0688784433162004,0.06326388888888888,0.07059027777777778,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv030_esd015,-0.014537037037037001,-0.0038503040773418956,-0.03510416666666666,-0.0010763888888888767,1
wind055_pv025_esd015,0.055,0.025,0.015,5,0,5,0.0212755799306449,0.0427300748658696,0.0543759806311458,0.0905790456766908,0.1223958333333333,0.0181944444444444,0.11846064814814815,0.005659722222222219,29.8227993560409,15.744524887558436,53.21797678730373,0,0,1,3,86400.0,-0.0006259061183552,0.0246716315676003,-0.0905790456766908,-0.0523298983103202,-0.0389252903181583,0.0001302947816306,0.0363271725072822,0.046220061001015,0.0701786790245684,0.056400462962962965,0.062060185185185184,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind055_pv025_esd015,-0.010486111111111102,-0.0027603070085246983,-0.05049768518518517,-0.002743055555555554,1
wind036_pv025_esd020,0.036,0.025,0.02,5,0,5,0.0220015146506879,0.0427286635362178,0.0524821173356561,0.0902232263488223,0.1354398148148148,0.0151157407407407,0.13738425925925926,0.00708333333333333,21.863572237696125,19.90642263820891,55.412814674087294,0,0,1,4,86400.0,-0.0006226454890952,0.0252825308572894,-0.0902232263488223,-0.0506623194748093,-0.0393118358751316,0.0001185939805225,0.0371030734468882,0.045843919097036,0.0683941274218913,0.06515046296296297,0.0722337962962963,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind036_pv025_esd020,-0.0135648148148148,-0.003116126336393202,-0.03157407407407406,-0.0013194444444444425,1
wind065_pv025_esd015,0.065,0.025,0.015,5,0,5,0.0212832456819046,0.0427208096897969,0.0543913221061817,0.09279506504138,0.122199074074074,0.0180439814814814,0.11858796296296296,0.005671296296296299,29.819290602912087,15.7234559105493,53.21282596070254,0,0,1,5,86400.0,-0.000625992678683,0.0246924948472495,-0.09279506504138,-0.0523222922931846,-0.0388945469679831,0.0001350796643206,0.0363305433957532,0.0462698001454288,0.072025449349633,0.05645833333333333,0.06212962962962963,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind065_pv025_esd015,-0.0106365740740741,-0.0005442876438354893,-0.05037037037037036,-0.0027314814814814736,1
wind045_pv025_esd015,0.045,0.025,0.015,5,0,5,0.0212393945891469,0.0426908327483495,0.0530875238079577,0.0893709494918271,0.1219328703703703,0.0166435185185185,0.11834490740740741,0.005636574074074079,29.714367999121475,16.1030091739999,53.07085835263251,0,0,1,6,86400.0,-0.0006259482526808,0.0245984660510068,-0.0893709494918271,-0.0513299341522186,-0.0389156489024335,0.0001131770984596,0.0363101151547584,0.0459163852711958,0.068998158827731,0.056354166666666664,0.06199074074074074,/Applications/openandes/demo/demo/deadband/results/phase1_full_day_tip100_alpha098_disable_pvd_agc_disable_esd_agc_kp0p1_ki0p002/wind045_pv025_esd015,-0.012037037037037002,-0.003968403193388398,-0.05061342592592591,-0.0027662037037036943,1
