scenario,paper_identified,andes_direct_gscr,andes_identified_gscr,absolute_error_to_andes_direct,relative_error_percent,residual_rmse,design_rank,design_condition,port_current_kcl_rmse,pflow_voltage_rmse,pflow_voltage_max_error,tds_steps,sample_count
fault_bus30,0.1639,0.17140949759782695,0.17140985186753016,3.542697032121733e-07,0.00020668032295584105,6.035650915453153e-07,72,783.3276533374453,3.2822295523019026e-06,5.397571029989716e-07,8.143210941113921e-07,1155,101
fault_bus25,0.163,0.17140949759782695,0.1714098578565997,3.602587727580264e-07,0.00021017433561545753,3.5824821234259925e-07,72,108633.11430246771,3.2775219631096655e-06,5.397571029989716e-07,8.143210941113921e-07,1155,101
fault_line_bus9_bus23,0.1633,0.17140949759782695,0.17140997700917385,4.794113468986616e-07,0.0002796877382042682,3.456748236339412e-07,72,90686.1624708698,3.2759264265178812e-06,5.396489178721946e-07,8.137059417379078e-07,1155,101
load_bus50,0.165,0.1722054216666348,0.17281568978542897,0.0006102681187941661,0.35438380097901817,2.488566416481023e-09,72,89204.091736751,3.2991796601966806e-06,0.0008998707864107415,0.0014612479201492334,1155,101
