sample_interval_s,sample_count,andes_direct_gscr,identified_gscr,absolute_error,design_rank,condition_number,residual_rmse
0.1,101,0.17140949759782695,0.17140985186753016,3.542697032121733e-07,72,783.3276533374453,6.035650915453153e-07
0.2,51,0.17140949759782695,0.17140985719982,3.596019930440786e-07,72,891.3081298171468,9.056719341887893e-07
0.5,21,0.17140949759782695,0.1714098729273717,3.753295447495031e-07,72,3118.792045249871,9.182428754321056e-07
0.8,13,0.17140949759782695,0.17140975353289328,2.559350663344784e-07,72,5301.300810049206,4.436276984498219e-07
1.0,11,0.17140949759782695,0.17140973829148082,2.406936538690285e-07,72,4774.744586443502,5.271726733473286e-07
