time_s,U_BUS1_re,U_BUS1_im,I_BUS1_re,I_BUS1_im,U_BUS2_re,U_BUS2_im,I_BUS2_re,I_BUS2_im,U_BUS3_re,U_BUS3_im,I_BUS3_re,I_BUS3_im,U_BUS4_re,U_BUS4_im,I_BUS4_re,I_BUS4_im,U_BUS5_re,U_BUS5_im,I_BUS5_re,I_BUS5_im,U_BUS6_re,U_BUS6_im,I_BUS6_re,I_BUS6_im,U_BUS7_re,U_BUS7_im,I_BUS7_re,I_BUS7_im,U_BUS8_re,U_BUS8_im,I_BUS8_re,I_BUS8_im
1.26,1.0000771892342095,0.0001208257006506997,6.239888072119015,-1.988189340860061,0.9737735970377941,-0.20804246043827165,5.123647388247777,-4.831435963031279,0.8861212720815147,-0.46375464027430247,1.5410547908449674,-3.7342549512601457,0.9344316980776967,-0.3985949280814337,1.1738480269573461,-1.2599120430712483,0.8882381294399581,-0.5449805803327561,1.8414101971371986,-4.93056988249748,0.758222829751201,-0.652443674356097,-0.4803745463803188,-0.5532097254115032,0.9781789111425981,-0.208428372290383,2.131081632760775,-0.7843755004539983,0.9785626082901406,-0.20661790890818113,2.900547820721455,-1.0599205693179812
1.36,1.0001078113930244,0.00033116654592986005,6.236142121326962,-1.9849083828632195,0.9739191945615733,-0.20760196683834342,5.125432450416187,-4.827651783069091,0.8864930703832905,-0.4631100266171592,1.5460076622589105,-3.7328530749800066,0.9347474568773668,-0.3979306565806098,1.175561685178391,-1.2589791694621697,0.888951090104836,-0.5437228368919163,1.8547028266378482,-4.932174227275156,0.7586960502477726,-0.6519541210220904,-0.48246884428535963,-0.5511995748698494,0.9783143336623202,-0.2079350066168963,2.1309435527001552,-0.7829414862931734,0.9786969371584608,-0.20612519388127354,2.9003465701386495,-1.0579737619939515
1.4600000000000002,1.000109902205476,0.00072183557519967,6.234027813835221,-1.9825349514422863,0.9740111848752968,-0.20696485799641937,5.131685101373947,-4.825597731071134,0.8867805492659808,-0.46248697924244153,1.5522017682114537,-3.7346026952339826,0.9349347009867331,-0.39729563523820355,1.1776149667085543,-1.2592640773422608,0.888929328577457,-0.5437533001028456,1.850589911423484,-4.930600882982939,0.7586550930778023,-0.6518507604341507,-0.4872993535096702,-0.5475521715693328,0.9784252718653524,-0.20721789778831298,2.132056125313184,-0.7818615385835529,0.9788067908194028,-0.20540746964648118,2.9018489132825276,-1.0564971239519714
1.5600000000000003,1.0000872706217636,0.0013302588266179097,6.234954335471215,-1.9804198777406958,0.9740683609204095,-0.20622977802861203,5.139907082664083,-4.824609187848971,0.8869661781171859,-0.46198732113472857,1.556803022547633,-3.7374171127817735,0.9350206557307084,-0.3967935377737986,1.1787566003564487,-1.2599459014368282,0.8883396148663443,-0.5448552773603561,1.8315052362519615,-4.9250481859761495,0.7584927175832289,-0.6518212535949842,-0.48854080990675985,-0.5472308159341271,0.9785254132706056,-0.20633923234454626,2.1342217271170094,-0.7809530323720357,0.978905799566308,-0.2045268430527117,2.9047942607111428,-1.0552462515181003
1.6600000000000004,1.0000439225341253,0.002144815307956612,6.240048471710248,-1.9782054790185715,0.9741001930583828,-0.20554966359300486,5.1466430176853635,-4.824248673177757,0.8870330833414466,-0.46170126990038846,1.5575117702730517,-3.7396001571372506,0.9350323041375361,-0.3964915653616211,1.1783965951955522,-1.260465289460273,0.8875392767860879,-0.5463756582178905,1.806785539373523,-4.917599812896331,0.758404782020211,-0.6517297385816998,-0.48535836810025323,-0.5506470476036666,0.9786132104227199,-0.20545373565298572,2.1368553942220823,-0.7801830276105107,0.9789925151016005,-0.2036385360306801,2.9083884726541673,-1.054181442558845
1.7600000000000005,0.9999842021702317,0.0030950338174345576,6.249191799929954,-1.975969227372405,0.9741062751686607,-0.20504231576580517,5.149514302454114,-4.824422390868831,0.8869851135211155,-0.461643729395149,1.5540082828785617,-3.7406729297458283,0.9349929411557414,-0.3963663272062337,1.177107318613526,-1.2608068881097318,0.8869256914728233,-0.5475138159239114,1.7884987236825325,-4.91237476064122,0.7582997935550317,-0.6516804799968849,-0.4829969443567585,-0.5532726854752984,0.9786722730308892,-0.20475572100683573,2.139136379921455,-0.7796860077068153,0.9790507770635414,-0.20293787104909106,2.9115076479930555,-1.0534901262420353
1.8600000000000005,0.9999200912511588,0.004060607327141131,6.260422697374463,-1.9737025781012274,0.9741015968270978,-0.20472457273140443,5.14837557680539,-4.824708843524664,0.8868791989306705,-0.4617283855456958,1.5477617693519896,-3.740525295948293,0.9349532460337105,-0.39631647416271776,1.1759537858470905,-1.2610062942976241,0.8867992322831804,-0.5476858918273266,1.7850976142283324,-4.912153898412589,0.7581326431403962,-0.6517286613467258,-0.4854785405761816,-0.5516356388955026,0.9786954810133968,-0.20440348651179568,2.140211005760617,-0.7795060562598826,0.979073627658986,-0.20258428301869738,2.9129803212746523,-1.0532369933117873
1.9600000000000006,0.9998734060902442,0.004902130394802939,6.270299053250395,-1.9709536777402914,0.9741288957835629,-0.2045052966015151,5.145203699461307,-4.823996916678132,0.8868288981726302,-0.4617874067270846,1.5412144866105633,-3.738666957758559,0.9349989090899725,-0.3962169540353157,1.1755624150000967,-1.260715079701766,0.8872651977928144,-0.5467676838853817,1.7972025661737734,-4.915962743107066,0.7581507916362189,-0.6516643424235308,-0.49000987200381424,-0.5478709693356728,0.9787021337989502,-0.20444592930643626,2.139491749448647,-0.779409951572438,0.9790802947186815,-0.2026274108004153,2.912001889089227,-1.0531095753815594
2.0600000000000005,0.9998651742790134,0.005505435840614255,6.275280858285443,-1.9672240351643888,0.9742326177623438,-0.20423919859465423,5.143028519963864,-4.8211714066889595,0.886956923844143,-0.4616272437314238,1.5373721177024575,-3.7349116439493755,0.9352018410147542,-0.39596788464658456,1.1759370567502097,-1.2594959530918515,0.8881977709614863,-0.5450949573226876,1.8183892314048717,-4.920247085545324,0.7586770401614596,-0.6511969525547214,-0.4904207157847118,-0.5470270648957133,0.9787262648302487,-0.20478107326895492,2.137007327924757,-0.779027036697284,0.9791045398687644,-0.20296524693473214,2.9086121122129995,-1.0526052512327755
2.160000000000001,0.999900044745157,0.005823287296168618,6.2734460166035335,-1.962685402994046,0.9744172293114878,-0.20381050960807368,5.144403114046381,-4.816215614743909,0.8873230033845844,-0.46110654487231345,1.5393174373844325,-3.730543773223044,0.9355563951736569,-0.3955175567942473,1.1769353007846068,-1.257486996820028,0.889289605967242,-0.5432537634267005,1.8397019793416325,-4.922219250028224,0.7596793983132745,-0.650322679911068,-0.4851520565192934,-0.5505739833953275,0.9787898976575976,-0.2051692597194051,2.133583922778443,-0.7781614215560118,0.9791680906571374,-0.20335726883777183,2.903937842621855,-1.0514524313649167
