window_s,sample_count,identified_gscr,absolute_error,design_rank,condition_number
10.0,101,0.1711930731811217,0.00021642441670524648,72,3.7835287171353182
8.0,81,0.17119687807115752,0.00021261952666942752,72,3.778030751867456
6.0,61,0.17121933432966813,0.00019016326815882167,72,3.7765520640160872
4.0,41,0.17143517973123815,2.568213341119785e-05,72,3.766059024763409
