scenario,paper_actual,paper_identified,reproduced_direct,reproduced_identified,absolute_error_to_rebuilt_network,residual_rmse,design_rank,design_condition
fault_bus30,0.1701,0.1639,0.17140949759782695,0.1714094975978258,1.1379786002407855e-15,1.666000468656264e-09,72,5.887445499919393
fault_bus25,0.1701,0.163,0.17140949759782695,0.17140949759782606,8.881784197001252e-16,1.666000468656264e-09,72,5.169067569736885
fault_line_bus9_bus23,0.1701,0.1633,0.17140949759782695,0.17140949759782384,3.1086244689504383e-15,1.4901161193847657e-09,72,5.346912143271037
