combo_id,wind_deadband_hz,solar_deadband_hz,esd_deadband_hz,window_count,failed_windows,successful_windows,mean_abs_hz,p95_abs_hz,p99_abs_hz,max_abs_hz,share_abs_gt_0p036,share_abs_gt_0p05,edge_mass_36,edge_asymmetry_36,esd_throughput,pvd_effort,gov_droop_effort,filter_fail_max_abs,filter_fail_share_gt_0p05,eligible
wind036_pv036_esd010,0.036,0.036,0.01,5,0,5,0.02349337593345451,0.04468642897523179,0.05110736113094591,0.06112771337533518,0.21488888888888888,0.012666666666666666,0.17266666666666666,0.06466666666666668,39.4011927794365,9.320575423584463,51.940490588137266,0,0,1
wind036_pv036_esd015,0.036,0.036,0.015,5,0,5,0.02476087682409286,0.04559019728162528,0.05220555962063212,0.06225238635634067,0.2391111111111111,0.018666666666666668,0.1751111111111111,0.07155555555555557,31.68429728248383,10.696676975619091,55.70666758536582,0,0,1
wind036_pv036_esd020,0.036,0.036,0.02,5,0,5,0.025689512086502636,0.046560360250501365,0.05337168954379419,0.0629730897405989,0.2644444444444444,0.02266666666666667,0.18777777777777777,0.08155555555555555,24.471779504464035,12.210931593074951,58.96770815049541,0,0,1
wind036_pv036_esd025,0.036,0.036,0.025,5,0,5,0.026519142673183362,0.04754097969213445,0.05427368027116794,0.06386088315055938,0.2917777777777778,0.027777777777777776,0.19311111111111112,0.08422222222222223,18.150083839464237,13.840383746907474,61.900628115802405,0,0,1
wind036_pv036_esd030,0.036,0.036,0.03,5,0,5,0.027089161533506864,0.04851678323889297,0.05548797281181815,0.0650350530683208,0.32222222222222224,0.036444444444444446,0.1968888888888889,0.0848888888888889,12.655941309877628,15.580917573243003,64.1874704727412,0,0,1
wind036_pv036_esd036,0.036,0.036,0.036,5,0,5,0.027625129423458728,0.04955907695807938,0.05683061301826125,0.06641027663601085,0.3546666666666667,0.04488888888888889,0.18888888888888888,0.07644444444444443,7.147812168999131,17.6695277651429,66.35556605748248,0,0,1
