combo_id,window,warmup_label,eval_label,wind_deadband_hz,solar_deadband_hz,esd_deadband_hz,failed,error,samples,mean_abs_hz,p95_abs_hz,p99_abs_hz,max_abs_hz,share_abs_gt_0p036,share_abs_gt_0p05,edge_mass_36,edge_pos_36,edge_neg_36,edge_asymmetry_36,esd_throughput,pvd_effort,gov_droop_effort
wind036_pv036_esd010,h2d3_h3d0,h2d3,h3d0,0.036,0.036,0.01,0,,900.0,0.015374473166912147,0.029105155748268774,0.03434811731164,0.040161692984210795,0.006666666666666667,0.0,0.02,0.02,0.0,0.02,17.642206323496605,2.060705710286123,26.17346581056348
wind036_pv036_esd010,h7d3_h8d2,h7d3,h8d2,0.036,0.036,0.01,0,,900.0,0.02156235143608472,0.0461754361554918,0.051462391261293296,0.06112771337533518,0.20222222222222222,0.017777777777777778,0.15222222222222223,0.0,0.15222222222222223,0.15222222222222223,35.2798071943139,7.59060674341996,47.85582057237848
wind036_pv036_esd010,h11d2_h11d3,h11d2,h11d3,0.036,0.036,0.01,0,,900.0,0.030338398299226296,0.04757470367569216,0.05291710428064613,0.055014471430081535,0.41444444444444445,0.021111111111111112,0.2777777777777778,0.09666666666666666,0.1811111111111111,0.08444444444444445,57.38764933887503,20.500707223780672,73.31438120155593
wind036_pv036_esd010,h15d1_h15d2,h15d1,h15d2,0.036,0.036,0.01,0,,900.0,0.027248128748847224,0.04502704938628288,0.0511073611309459,0.0553198115625797,0.28,0.014444444444444444,0.25666666666666665,0.14888888888888888,0.10777777777777778,0.0411111111111111,49.06286415746342,12.535913156505185,62.859737681414956
wind036_pv036_esd010,h20d3_h21d0,h20d3,h21d0,0.036,0.036,0.01,0,,900.0,0.022943528016202152,0.043185054263217386,0.04987286457797419,0.056088749616183264,0.1711111111111111,0.01,0.15666666666666668,0.0044444444444444444,0.15222222222222223,0.14777777777777779,37.633436883033525,3.9149442839303825,49.499047674773465
wind036_pv036_esd015,h2d3_h3d0,h2d3,h3d0,0.036,0.036,0.015,0,,900.0,0.016254047258743243,0.03002886146387684,0.035369061653427326,0.04097768731780693,0.0077777777777777776,0.0,0.024444444444444446,0.023333333333333334,0.0011111111111111111,0.022222222222222223,10.867508030366752,2.063762640353761,28.425999020631554
wind036_pv036_esd015,h7d3_h8d2,h7d3,h8d2,0.036,0.036,0.015,0,,900.0,0.023020596588633493,0.047117301232376556,0.052956495701649856,0.06225238635634067,0.23,0.025555555555555557,0.15222222222222223,0.0022222222222222222,0.15,0.14777777777777779,28.951128207019625,8.489968019414535,51.70060398296796
wind036_pv036_esd015,h11d2_h11d3,h11d2,h11d3,0.036,0.036,0.015,0,,900.0,0.031619780525921876,0.048290551620721045,0.05437006147573311,0.05608703816091909,0.44666666666666666,0.03,0.26555555555555554,0.09,0.17555555555555555,0.08555555555555555,48.12256096918499,23.714887928924377,77.48644055075758
wind036_pv036_esd015,h15d1_h15d2,h15d1,h15d2,0.036,0.036,0.015,0,,900.0,0.028558736118371793,0.04586069002823489,0.05216384788261105,0.055191304959554266,0.31666666666666665,0.023333333333333334,0.26,0.13777777777777778,0.12222222222222222,0.015555555555555559,40.27147650555905,14.70841690744766,67.01559508964296
wind036_pv036_esd015,h20d3_h21d0,h20d3,h21d0,0.036,0.036,0.015,0,,900.0,0.024351223628793904,0.044532992603624186,0.051372281656007664,0.05714843365248967,0.19444444444444445,0.014444444444444444,0.17333333333333334,0.005555555555555556,0.16777777777777778,0.1622222222222222,30.208812700288703,4.506349381955123,53.904699282829085
wind036_pv036_esd020,h2d3_h3d0,h2d3,h3d0,0.036,0.036,0.02,0,,900.0,0.016818037467990765,0.030998786029990733,0.035807447226579206,0.04205907753611182,0.008888888888888889,0.0,0.035555555555555556,0.03333333333333333,0.0022222222222222222,0.03111111111111111,5.740751823231795,2.0676974530595045,30.29645072443196
wind036_pv036_esd020,h7d3_h8d2,h7d3,h8d2,0.036,0.036,0.02,0,,900.0,0.02369681212119581,0.047889015784232436,0.054600536579635706,0.0629730897405989,0.2477777777777778,0.034444444444444444,0.15333333333333332,0.0011111111111111111,0.15222222222222223,0.1511111111111111,22.591923533475672,9.501598671082084,54.43511925686347
wind036_pv036_esd020,h11d2_h11d3,h11d2,h11d3,0.036,0.036,0.02,0,,900.0,0.03273167382945066,0.049084513445084466,0.055677723336835,0.057486310605252555,0.48,0.03777777777777778,0.28,0.09111111111111111,0.18888888888888888,0.09777777777777777,39.00016542693742,27.109345155032614,81.38145436479108
wind036_pv036_esd020,h15d1_h15d2,h15d1,h15d2,0.036,0.036,0.02,0,,900.0,0.029661253418501208,0.046774837851733864,0.053083429102403844,0.055735128619445184,0.35555555555555557,0.024444444444444446,0.2688888888888889,0.1322222222222222,0.13666666666666666,0.004444444444444445,31.665006433704793,17.22327384667792,70.8425392450816
wind036_pv036_esd020,h20d3_h21d0,h20d3,h21d0,0.036,0.036,0.02,0,,900.0,0.025539783595374742,0.04566192565367355,0.0526428070342605,0.058112708102711075,0.23,0.016666666666666666,0.2011111111111111,0.0077777777777777776,0.19333333333333333,0.18555555555555556,23.36105030497051,5.152742839522635,57.882977161308915
wind036_pv036_esd025,h2d3_h3d0,h2d3,h3d0,0.036,0.036,0.025,0,,900.0,0.01713550885312014,0.031915465279063845,0.03681348194162397,0.04253095186203204,0.012222222222222223,0.0,0.04666666666666667,0.042222222222222223,0.0044444444444444444,0.03777777777777778,2.527153162822179,2.0802668458185893,31.443667081554363
wind036_pv036_esd025,h7d3_h8d2,h7d3,h8d2,0.036,0.036,0.025,0,,900.0,0.024595709042042876,0.0490624985875675,0.05614329322178935,0.06386088315055938,0.2722222222222222,0.04111111111111111,0.15666666666666668,0.006666666666666667,0.15,0.14333333333333334,17.263050560216644,10.533747216591356,57.41471056965604
wind036_pv036_esd025,h11d2_h11d3,h11d2,h11d3,0.036,0.036,0.025,0,,900.0,0.03371228186432295,0.04994605360971527,0.05644311036761764,0.058738171966925545,0.5133333333333333,0.04777777777777778,0.2811111111111111,0.08444444444444445,0.19666666666666666,0.11222222222222221,30.16267316988703,30.684657700881704,84.95412972307552
wind036_pv036_esd025,h15d1_h15d2,h15d1,h15d2,0.036,0.036,0.025,0,,900.0,0.030607171985180193,0.047981972036800435,0.05410855804908849,0.05690467014332512,0.39444444444444443,0.027777777777777776,0.26666666666666666,0.13,0.13666666666666666,0.006666666666666654,23.565095820570203,20.024125049390683,74.2913927742612
