combo_id,wind_deadband_hz,solar_deadband_hz,esd_deadband_hz,window_count,failed_windows,successful_windows,mean_abs_hz,p95_abs_hz,p99_abs_hz,max_abs_hz,share_abs_gt_0p036,share_abs_gt_0p05,edge_mass_36,edge_asymmetry_36,esd_throughput,pvd_effort,gov_droop_effort,filter_fail_max_abs,filter_fail_share_gt_0p05,eligible,inertia_multiplier,case
wind036_pv036_esd036,0.036,0.036,0.036,3,0,3,0.030263070387061372,0.051878183168287066,0.060065808628229404,0.07523127591765544,0.4325925925925926,0.07777777777777778,0.21407407407407408,0.09555555555555556,10.249681560305833,20.741632015657974,75.69553060590913,0,1,0,0.5,uniform
wind036_pv025_esd015,0.036,0.025,0.015,3,0,3,0.025995651877166678,0.04632277066811629,0.054228178046772435,0.06877924624181908,0.25333333333333335,0.024074074074074074,0.2011111111111111,0.1262962962962963,34.069600093160226,20.446702704183746,59.732600830150965,0,0,1,0.5,best
wind036_pv036_esd036,0.036,0.036,0.036,3,0,3,0.029643653964722728,0.05103160186017008,0.05866364125370494,0.06641027663601085,0.42148148148148146,0.061481481481481484,0.20148148148148148,0.1333333333333333,9.074967891843764,19.927837281535325,73.30148008163985,0,1,0,1.0,uniform
wind036_pv025_esd015,0.036,0.025,0.015,3,0,3,0.025284304139795793,0.04569448241825014,0.05197228411196909,0.06145132785964513,0.2337037037037037,0.018518518518518517,0.20222222222222222,0.1288888888888889,33.17803646142884,19.081401553965236,57.412653554710545,0,0,1,1.0,best
wind036_pv036_esd036,0.036,0.036,0.036,3,0,3,0.029558926117673252,0.05017050673443601,0.055756450672898285,0.06176492060062655,0.4266666666666667,0.05185185185185185,0.19814814814814816,0.13666666666666666,8.783327979187257,19.774999063675526,72.80956354279694,0,1,0,1.25,uniform
wind036_pv025_esd015,0.036,0.025,0.015,3,0,3,0.02535346748166939,0.0441983706416369,0.05021989588616886,0.05667430346793623,0.24,0.011481481481481481,0.22777777777777777,0.15444444444444444,33.13801957883373,18.818175751960116,57.13703033746926,0,0,1,1.25,best
