time_s,freq_dev_hz,gov_droop_sum,gov_active_count,gov_pe_sum,pvd_droop_sum,pvd_active_count,pvd_pe_sum,pvd_pref_sum,pvd_pavail_sum,pvd_pext0_sum,esd_droop_sum,esd_active_count,esd_pe_sum,esd_pref_sum,esd_pext0_sum,esd_soc_mean,esd_soc_min,esd_soc_max,esd_soc_1,esd_soc_2,gov_paux0_sum,dg_pext0_sum,gov_pref0_sum,agc_request_sum_total,agc_update,gov_pe_sum_delta,pvd_pe_sum_delta,esd_pe_sum_delta,gov_pref0_sum_delta,pvd_pref_sum_delta,esd_pref_sum_delta
0.0,0.044986250515437476,-0.13825810993329207,25,6.198760208614209,-0.08832432201971663,22,6.928120098729481,7.011262890980859,7.154349888755979,0.0,-0.027823087258150754,2,-0.02851095391421121,0.0,0.0,0.5021141070403075,0.5021139429350996,0.5021142711455153,0.5021142711455153,0.5021139429350996,-0.3047063289536066,0.0,6.639322418913963,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.045752039664890276,-0.13894085233775658,25,6.198732038843622,-0.09602074531026179,22,6.920711372406539,7.023765729865927,7.167107887618291,0.0,-0.030152323837247093,2,-0.03176997075175751,0.0,0.0,0.5021185955599434,0.5021184324187673,0.5021187587011197,0.5021187587011197,0.5021184324187673,-0.3047063289536066,0.0,6.638505595200275,0.0,0,-2.8169770586394804e-05,-0.007408726322942094,-0.003259016837546303,-0.0008168237136878531,0.012502838885067646,0.0
2.0,0.04745546998346395,-0.14817271329194648,25,6.19537797506406,-0.11246863846492862,22,6.916506151957363,7.025589448394369,7.168968824892212,0.0,-0.03521637047611588,2,-0.0337641169753563,0.0,0.0,0.5021234004554901,0.5021232365257391,0.5021235643852411,0.5021235643852411,0.5021232365257391,-0.3047063289536066,0.0,6.637688775993919,0.0,0,-0.003382233550148328,-0.011613946772118133,-0.005253163061145091,-0.0016336429200443092,0.014326557413509633,0.0
3.0,0.04575781292767811,-0.14684376174705266,25,6.187401569545526,-0.09631793795282981,22,6.91953466834371,7.011852482600997,7.154951512858162,0.0,-0.030379009431113116,2,-0.030475053016499,0.0,0.0,0.5021282234952749,0.5021280608453964,0.5021283861451533,0.5021283861451533,0.5021280608453964,-0.3047063289536066,0.0,6.636871956787562,0.0,0,-0.011358639068682841,-0.00858543038577153,-0.0019640991022877897,-0.0024504621264007653,0.0005895916201374973,0.0
4.0,0.046201525637519225,-0.160709324617392,25,6.176201234657297,-0.10039107610099647,22,6.951956438479669,7.017785720119769,7.161005836856906,0.0,-0.03136090122005218,2,-0.02055219594104515,0.0,0.0,0.502131936766649,0.5021317784500913,0.5021320950832069,0.5021320950832069,0.5021317784500913,-0.30874187588904256,0.0,6.636055137581206,-0.30874187588904256,1,-0.022558973956911643,0.023836339750187285,0.007958757973166058,-0.0032672813327572214,0.006522829138909891,0.0
5.0,0.038854102381309374,-0.08827414949854642,22,6.208437855312918,-0.03094320577968119,22,6.902590733943683,7.046026442230792,7.189822900235499,0.0,-0.010521528940233456,2,-0.041773035965297425,0.0,0.0,0.5021372689393422,0.5021371023437803,0.5021374355349042,0.5021374355349042,0.5021371023437803,-0.30874187588904256,0.0,6.635238318374849,-0.30874187588904256,0,0.00967764669870963,-0.02552936478579859,-0.013262082051086217,-0.0040841005391136775,0.03476355124993269,0.0
6.0,0.05622632506722791,-0.21007846336340943,25,6.173351785446531,-0.19597576318747556,22,6.943250941261289,7.026835595860474,7.1702404039392595,0.0,-0.06050231360533626,2,-0.02666324972698316,0.0,0.0,0.5021414793023535,0.5021413109599308,0.5021416476447762,0.5021416476447762,0.5021413109599308,-0.30874187588904256,0.0,6.634421499168492,-0.30874187588904256,0,-0.02540842316767744,0.015130842531807964,0.0018477041872280477,-0.004900919745471022,0.015572704879614818,0.0
7.0,0.03182339595764638,-0.09471628942051474,22,6.171830238456803,1.3552527156068805e-20,0,6.961905044437147,7.028536834400122,7.171976361632779,0.0,0.0,0,-0.02071661459225315,0.0,0.0,0.5021459269644509,0.5021457587942619,0.5021460951346399,0.5021460951346399,0.5021457587942619,-0.30874187588904256,0.0,6.6336046799621355,-0.30874187588904256,0,-0.026929970157405947,0.03378494570766577,0.007794339321958058,-0.005717738951827478,0.017273943419263027,0.0
8.0,0.04498984782232984,-0.110126988969839,25,6.227782931706998,-0.08734519602270034,22,6.912934155706026,7.025828924096451,7.169213187853526,0.0,-0.027278383566897595,2,-0.03581919063858456,0.0,0.0,0.5021497920195581,0.5021496216451993,0.5021499623939168,0.5021499623939168,0.5021496216451993,-0.3041547461466532,0.0,6.632787860755779,-0.3041547461466532,1,0.029022723092789526,-0.01518594302345555,-0.007308236724373352,-0.006534558158183934,0.014566033115591459,0.0
9.0,0.055459853812842574,-0.1953742125229721,25,6.185970962589633,-0.18822029092843207,22,6.9356203625431005,7.031981317124659,7.175491139923121,0.0,-0.05805880200222537,2,-0.029362269222396493,0.0,0.0,0.5021539038696321,0.5021537334702804,0.5021540742689837,0.5021540742689837,0.5021537334702804,-0.3041547461466532,0.0,6.631971041549422,-0.3041547461466532,0,-0.01278924602457554,0.0075002638136192346,-0.0008513153081852846,-0.007351377364541278,0.020718426143799817,0.0
