inertia_multiplier,uniform_mean_abs_hz,best_mean_abs_hz,delta_mean_abs_hz,relative_mean_abs_hz,uniform_share_abs_gt_0p036,best_share_abs_gt_0p036,delta_share_abs_gt_0p036,relative_share_abs_gt_0p036,uniform_share_abs_gt_0p05,best_share_abs_gt_0p05,delta_share_abs_gt_0p05,relative_share_abs_gt_0p05,uniform_max_abs_hz,best_max_abs_hz,delta_max_abs_hz,relative_max_abs_hz,uniform_edge_mass_36,best_edge_mass_36,delta_edge_mass_36,relative_edge_mass_36
0.5,0.030263070387061372,0.025995651877166678,-0.004267418509894694,-0.14101075850252062,0.4325925925925926,0.25333333333333335,-0.17925925925925923,-0.41438356164383555,0.07777777777777778,0.024074074074074074,-0.053703703703703705,-0.6904761904761905,0.07523127591765544,0.06877924624181908,-0.006452029675836357,-0.08576259803035165,0.21407407407407408,0.2011111111111111,-0.012962962962962982,-0.06055363321799317
1.0,0.029643653964722728,0.025284304139795793,-0.004359349824926934,-0.14705845069284493,0.42148148148148146,0.2337037037037037,-0.18777777777777777,-0.44551845342706503,0.061481481481481484,0.018518518518518517,-0.04296296296296297,-0.6987951807228916,0.06641027663601085,0.06145132785964513,-0.0049589487763657125,-0.07467140670931541,0.20148148148148148,0.20222222222222222,0.0007407407407407363,0.003676470588235272
1.25,0.029558926117673252,0.02535346748166939,-0.004205458636003863,-0.14227372872959088,0.4266666666666667,0.24,-0.1866666666666667,-0.43750000000000006,0.05185185185185185,0.011481481481481481,-0.04037037037037037,-0.7785714285714286,0.06176492060062655,0.05667430346793623,-0.005090617132690323,-0.0824192289601791,0.19814814814814816,0.22777777777777777,0.029629629629629617,0.14953271028037377
